date,n_dlv,n_so,pl_mean,agi_mean,gap
2026-06-04,2,2,36.5,37.0,-0.5
2026-06-05,2,5,36.25,36.0,0.25
2026-06-09,11,71,36.83,32.0,4.83
2026-06-10,2,6,33.1,31.0,2.1
2026-06-11,10,15,28.55,29.2,-0.65
2026-06-12,7,12,33.74,26.71,7.03
2026-06-15,17,29,29.07,26.12,2.96
2026-06-16,12,37,27.71,23.5,4.21
2026-06-17,6,9,23.58,20.67,2.92
2026-06-18,5,5,21.0,21.8,-0.8
2026-06-19,4,10,22.19,20.5,1.69
2026-06-22,3,3,19.33,18.33,1.0
2026-06-23,5,8,29.0,16.0,13.0
2026-06-24,34,123,23.42,17.47,5.95
2026-06-25,4,30,21.28,17.0,4.28
2026-06-29,10,19,24.15,18.2,5.95
2026-06-30,10,36,24.83,21.4,3.43
2026-07-01,17,63,25.45,21.88,3.57
2026-07-02,2,4,12.67,11.0,1.67
2026-07-03,4,8,26.12,18.0,8.12
2026-07-06,13,43,22.52,19.31,3.22
2026-07-07,21,43,30.02,25.24,4.78
2026-07-08,15,34,23.71,16.73,6.98
2026-07-09,2,5,8.38,8.0,0.38
2026-07-10,4,5,12.25,7.0,5.25
2026-07-13,10,27,8.39,4.0,4.39
2026-07-14,36,103,6.32,3.0,3.32
2026-07-15,18,39,6.43,2.0,4.43
2026-07-17,11,45,20.2,18.91,1.29
2026-07-20,18,46,16.94,14.44,2.5
2026-07-21,3,5,3.11,7.0,-3.89
2026-07-22,11,35,18.53,17.18,1.34
2026-07-24,4,5,10.0,11.0,-1.0
2026-07-27,4,66,7.08,8.0,-0.92
2026-07-28,15,32,4.73,7.0,-2.27
2026-07-29,18,52,6.94,6.0,0.94
2026-07-31,5,8,12.6,12.0,0.6
2026-08-03,4,23,8.5,9.0,-0.5
2026-08-04,26,101,10.52,8.0,2.52
2026-08-05,7,33,8.27,7.0,1.27
2026-08-06,4,8,10.69,7.0,3.69
2026-08-07,8,50,9.86,9.0,0.86
2026-08-10,7,29,10.42,6.0,4.42
2026-08-11,5,42,6.09,3.4,2.69
2026-08-13,3,3,8.33,6.33,2.0
2026-08-14,3,6,17.83,12.0,5.83
2026-08-17,4,5,10.62,9.0,1.62
2026-08-18,2,3,9.0,8.0,1.0
2026-08-19,1,3,19.33,7.0,12.33
