bl_no,route,atd,schedule,pri,sheet
221535940,,2022-10-29,2022-12-01,30,2023
221536296,,2022-10-25,2022-12-01,30,2023
221536207,,2022-10-25,2022-12-01,30,2023
221943342,,2022-11-01,2022-12-07,30,2023
221947173,,2022-11-01,2022-12-07,30,2023
221939216,,2022-11-10,2022-12-21,30,2023
221944256,,2022-11-08,2022-12-15,30,2023
221947174,,2022-11-08,2022-12-15,30,2023
221947176,,2022-11-17,2023-01-02,30,2023
221944261,,2022-11-17,2023-01-02,30,2023
221947175,,2022-11-23,2023-01-04,30,2023
221944266,,2022-12-05,2023-01-22,30,2023
221947177,,2022-12-05,2023-01-22,30,2023
221939966,,2022-12-02,2023-01-07,30,2023
223157668,,2022-12-10,2023-01-13,30,2023
221944271,,2022-12-06,2023-01-12,30,2023
221947183,,2022-12-06,2023-01-12,30,2023
223158512,,2022-12-13,2023-01-22,30,2023
223159155,,2022-12-13,2023-01-23,30,2023
223157670,,2022-12-23,2023-01-27,30,2023
223159162,,2022-12-23,2023-02-06,30,2023
223158503,,2022-12-26,2023-02-06,30,2023
223160004,,2022-12-28,2023-02-06,30,2023
223158501,,2022-12-28,2023-02-06,30,2023
223477939,,2023-01-09,2023-02-11,30,2023
223160013,,2023-01-02,2023-03-05,30,2023
223159144,,2023-01-10,2023-03-01,30,2023
224169409,,2023-01-09,2023-03-01,30,2023
223481751,,2023-01-09,2023-03-01,30,2023
223478606,,2023-01-29,2023-03-02,30,2023
223481752,,2023-01-21,2023-03-11,30,2023
223480629,,2023-01-21,2023-03-11,30,2023
224306375,,2023-01-21,2023-03-11,30,2023
224305959,,2023-01-21,2023-03-11,30,2023
223481750,,2023-01-27,2023-03-22,30,2023
223481218,,2023-01-27,2023-03-22,30,2023
224551702,,2023-02-19,2023-03-23,30,2023
223481756,,2023-02-04,2023-04-26,30,2023
223481221,,2023-02-04,2023-04-08,30,2023
223482172,,2023-02-13,2023-04-09,30,2023
224552264,,2023-03-05,2023-04-07,30,2023
224553192,,2023-02-22,2023-04-13,30,2023
224553185,,2023-02-22,2023-04-13,30,2023
224553184,,2023-03-02,2023-04-18,30,2023
224553604,,2023-03-02,2023-04-18,30,2023
224553188,,2023-03-11,2023-04-25,30,2023
224553606,,2023-03-11,2023-04-25,30,2023
224553605,,2023-03-11,2023-04-25,30,2023
225090996,,2023-03-24,2023-04-29,30,2023
225094267,,2023-03-15,2023-05-12,30,2023
225091889,,2023-03-15,2023-05-12,30,2023
225094275,,2023-03-15,2023-05-19,30,2023
225091887,,2023-04-08,2023-05-11,30,2023
225093432,,2023-03-30,2023-05-16,30,2023
225094266,,2023-03-30,2023-05-16,30,2023
226127016,,2023-04-06,2023-05-23,30,2023
225095135,,2023-04-06,2023-05-23,30,2023
225094271,,2023-04-06,2023-05-23,30,2023
226126444,,2023-04-21,2023-06-07,30,2023
226126441,,2023-04-21,2023-06-07,30,2023
226125930,,2023-04-21,2023-06-07,30,2023
226126443,,2023-04-28,2023-06-21,30,2023
226126438,,2023-04-28,2023-06-21,30,2023
226127015,,2023-05-06,2023-07-05,30,2023
226126442,,2023-05-06,2023-07-19,30,2023
226126440,,2023-05-06,2023-07-19,30,2023
227441436,,2023-05-12,2023-06-28,30,2023
226846374,,2023-05-12,2023-06-28,30,2023
226848741,,2023-05-19,2023-07-04,30,2023
226846376,,2023-05-19,2023-07-04,30,2023
226849455,,2023-05-26,2023-07-11,30,2023
226846377,,2023-05-26,2023-07-11,30,2023
226846384,,2023-06-02,2023-07-25,30,2023
226849457,,2023-06-02,2023-07-25,30,2023
227376832,,2023-06-09,2023-07-31,30,2023
227375922,,2023-06-09,2023-07-31,30,2023
227375923,,2023-06-16,2023-08-08,30,2023
227376833,,2023-06-16,2023-08-08,30,2023
227375924,,2023-06-22,2023-08-30,30,2023
227376840,,2023-06-22,2023-08-30,30,2023
227375934,,2023-06-30,2023-08-21,30,2023
227376831,,2023-06-30,2023-08-21,30,2023
228346700,,2023-07-07,2023-08-29,30,2023
228346179,,2023-07-07,2023-08-29,30,2023
228346185,,2023-07-14,2023-09-04,30,2023
228987125,,2023-07-14,2023-09-04,30,2023
228346699,,2023-07-14,2023-09-04,30,2023
229231866,,2023-07-23,2023-09-19,30,2023
229226783,,2023-07-23,2023-09-19,30,2023
229230380,,2023-07-23,2023-09-19,30,2023
228346697,,2023-07-27,2023-09-19,30,2023
228346694,,2023-07-27,2023-09-19,30,2023
228347874,,2023-08-05,2023-09-26,30,2023
228348430,,2023-08-05,2023-09-26,30,2023
229650935,,2023-08-05,2023-09-26,30,2023
228347875,,2023-08-12,2023-10-03,30,2023
228348428,,2023-08-12,2023-10-03,30,2023
