B/L No.,ATD,Latest Vessel Schedule,Days
260958114,2025-11-23,2026-01-09,47
260958719,2025-11-23,2026-01-09,47
260957518,2025-11-30,2026-01-16,47
261865619,2025-11-23,2026-01-09,47
260957516,2025-12-08,2026-01-24,47
260958712,2025-11-30,2026-01-16,47
260958116,2025-12-08,2026-01-24,47
260957514,2025-12-08,2026-01-24,47
260958722,2025-12-08,2026-01-24,47
260958112,2025-12-08,2026-01-24,47
260958111,2025-12-14,2026-01-30,47
260957517,2025-12-21,2026-02-08,49
260958713,2025-12-14,2026-01-30,47
262390973,2025-12-23,2026-02-16,55
262391634,2025-12-21,2026-02-08,49
262391635,2025-12-21,2026-02-08,49
262391636,2025-12-29,2026-02-12,45
262390976,2025-12-29,2026-02-12,45
262392314,2025-12-29,2026-02-12,45
262390968,2026-01-16,2026-03-21,64
262392315,2026-01-08,2026-02-18,41
262391637,2026-01-08,2026-02-18,41
262390969,2026-01-19,2026-03-23,63
262391630,2026-01-19,2026-03-23,63
262782477,2026-01-28,2026-03-17,48
262782474,2026-01-28,2026-03-17,48
262782475,2026-01-28,2026-03-17,48
262782478,2026-01-28,2026-03-17,48
262783096,2026-01-28,2026-03-17,48
264162791,2026-02-04,2026-03-25,49
264161579,2026-02-04,2026-03-25,49
266220960,2026-02-04,2026-04-21,76
264165273,2026-02-04,2026-03-25,49
264163938,2026-02-11,2026-03-31,48
264161587,2026-02-11,2026-03-31,48
264165276,2026-02-11,2026-03-31,48
265450890,2026-02-04,2026-03-25,49
264161585,2026-03-04,2026-04-09,36
264166324,2026-02-16,2026-04-09,52
264163968,2026-02-22,2026-04-15,52
264161584,2026-02-22,2026-04-15,52
264166323,2026-02-22,2026-04-15,52
264165270,2026-03-04,2026-04-21,48
264163964,2026-03-04,2026-04-21,48
264162789,2026-03-04,2026-04-21,48
264166327,2026-03-04,2026-04-21,48
265800321,2026-03-09,2026-04-28,50
265801584,2026-03-09,2026-04-28,50
265800322,2026-03-17,2026-05-07,51
265801590,2026-03-17,2026-05-07,51
265802877,2026-03-17,2026-05-07,51
267160633,2026-03-17,2026-05-07,51
265802859,2026-03-23,2026-05-11,49
265800327,2026-03-23,2026-05-11,49
265802873,2026-03-23,2026-05-11,49
265800324,2026-03-29,2026-05-17,49
265802857,2026-03-29,2026-05-17,49
266985700,2026-04-04,2026-05-22,48
266986788,2026-04-04,2026-05-22,48
266986217,2026-04-04,2026-05-22,48
