snapshot_id,as_of_date,lane_id,metric,grain,atd_month,n,min_days,max_days,mean_days,median_days,status
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,voyage,2025-11,2,47,47,47,47.0,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,ticket,2025-11,5,47,47,47,47,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,voyage,2025-12,5,45,55,48.6,47,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,ticket,2025-12,14,45,55,47.5714,47.0,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,voyage,2026-01,4,41,64,54,55.5,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,ticket,2026-01,10,41,64,51.2,48.0,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,voyage,2026-02,5,48,76,55.4,52,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,ticket,2026-02,12,48,76,52,49.0,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,voyage,2026-03,6,36,51,47.1667,49.0,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,ticket,2026-03,16,36,51,48.5625,49.0,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,voyage,2026-04,5,48,58,52.8,52,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,ticket,2026-04,11,48,58,51.7273,51,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,voyage,2026-05,4,53,58,55,54.5,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,ticket,2026-05,9,53,58,55.2222,54,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,voyage,2026-06,7,57,71,64.7143,65,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,ticket,2026-06,12,57,71,63.9167,65.0,schedule_passed
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,voyage,2026-07,7,48,71,61,62,eta
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,ticket,2026-07,15,48,71,59.8,62,eta
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,voyage,2026-08,2,48,57,52.5,52.5,eta
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,ticket,2026-08,3,48,57,51,48,eta
