snapshot_id,as_of_date,lane_id,metric,voyage_key,atd,atd_month,schedule_date,days,bl_count,status,bl_nos
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2025-11-23|2026-01-09,2025-11-23,2025-11,2026-01-09,47,3,schedule_passed,260958114;260958719;261865619
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2025-11-30|2026-01-16,2025-11-30,2025-11,2026-01-16,47,2,schedule_passed,260957518;260958712
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2025-12-08|2026-01-24,2025-12-08,2025-12,2026-01-24,47,5,schedule_passed,260957516;260958116;260957514;260958722;260958112
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2025-12-14|2026-01-30,2025-12-14,2025-12,2026-01-30,47,2,schedule_passed,260958111;260958713
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2025-12-21|2026-02-08,2025-12-21,2025-12,2026-02-08,49,3,schedule_passed,260957517;262391634;262391635
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2025-12-23|2026-02-16,2025-12-23,2025-12,2026-02-16,55,1,schedule_passed,262390973
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2025-12-29|2026-02-12,2025-12-29,2025-12,2026-02-12,45,3,schedule_passed,262391636;262390976;262392314
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-01-08|2026-02-18,2026-01-08,2026-01,2026-02-18,41,2,schedule_passed,262392315;262391637
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-01-16|2026-03-21,2026-01-16,2026-01,2026-03-21,64,1,schedule_passed,262390968
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-01-19|2026-03-23,2026-01-19,2026-01,2026-03-23,63,2,schedule_passed,262390969;262391630
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-01-28|2026-03-17,2026-01-28,2026-01,2026-03-17,48,5,schedule_passed,262782477;262782474;262782475;262782478;262783096
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-02-04|2026-03-25,2026-02-04,2026-02,2026-03-25,49,4,schedule_passed,264162791;264161579;264165273;265450890
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-02-04|2026-04-21,2026-02-04,2026-02,2026-04-21,76,1,schedule_passed,266220960
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-02-11|2026-03-31,2026-02-11,2026-02,2026-03-31,48,3,schedule_passed,264163938;264161587;264165276
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-02-16|2026-04-09,2026-02-16,2026-02,2026-04-09,52,1,schedule_passed,264166324
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-02-22|2026-04-15,2026-02-22,2026-02,2026-04-15,52,3,schedule_passed,264163968;264161584;264166323
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-03-04|2026-04-09,2026-03-04,2026-03,2026-04-09,36,1,schedule_passed,264161585
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-03-04|2026-04-21,2026-03-04,2026-03,2026-04-21,48,4,schedule_passed,264165270;264163964;264162789;264166327
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-03-09|2026-04-28,2026-03-09,2026-03,2026-04-28,50,2,schedule_passed,265800321;265801584
2026-09-07_ham-sha_lvs,2026-09-07,HAM-SHA,latest_vessel_schedule_minus_atd,2026-03-17|2026-05-07,2026-03-17,2026-03,2026-05-07,51,4,schedule_passed,265800322;265801590;265802877;267160633
