atd_month,atd_year,n,min,max,mean,median
2022-10,2022,2,33,37,35,35.0
2022-11,2022,5,36,46,40.4,41
2022-12,2022,10,34,48,39.8,40.0
2023-01,2023,7,32,62,47.3,50
2023-02,2023,5,32,81,56.2,55
2023-03,2023,7,33,65,47.3,47
2023-04,2023,4,33,54,45.2,47.0
2023-05,2023,5,46,74,54.6,47
2023-06,2023,5,52,69,55.8,53
2023-07,2023,4,52,58,54.2,53.5
2023-08,2023,4,52,57,53.2,52.0
2023-09,2023,5,45,52,49.6,50
2023-10,2023,5,43,53,46,44
2023-11,2023,5,44,59,50.2,45
2023-12,2023,4,51,82,62,57.5
2024-01,2024,4,42,58,51.2,52.5
2024-02,2024,6,47,60,53.2,52.5
2024-03,2024,8,54,77,60.5,59.5
2024-04,2024,4,55,67,60.8,60.5
2024-05,2024,7,50,65,54.4,53
2024-06,2024,6,48,57,53,53.5
2024-07,2024,4,53,59,56.5,57.0
2024-08,2024,9,44,59,52.9,55
2024-09,2024,4,49,62,57.2,59.0
2024-10,2024,8,47,77,59.6,57.0
2024-11,2024,6,50,57,53.8,54.5
2024-12,2024,6,49,60,54.2,54.0
2025-01,2025,3,53,62,57.7,58
2025-02,2025,7,48,76,61.1,59
2025-03,2025,8,50,83,59.2,54.0
2025-04,2025,4,39,59,47.8,46.5
2025-05,2025,5,46,55,51.6,53
2025-06,2025,5,46,49,47.2,47
2025-07,2025,7,45,63,51.1,49
2025-08,2025,11,45,65,51.9,51
2025-09,2025,8,48,54,51.9,52.0
2025-10,2025,6,45,49,47.5,48.0
2025-11,2025,5,44,47,46,47
2025-12,2025,6,45,55,48.3,47.0
2026-01,2026,4,41,64,54,55.5
2026-02,2026,5,48,76,55.4,52
2026-03,2026,6,36,51,47.2,49.0
2026-04,2026,5,48,58,52.8,52
2026-05,2026,4,53,58,55,54.5
2026-06,2026,7,57,71,64.7,65
