snapshot_id,lane_id,voyage_key,atd,atd_year,atd_month,schedule_date,route,direct,days,bl_count,status
2026-09-09_ham-sha_merged,HAM-SHA,2022-10-25|2022-12-01|,2022-10-25,2022,2022-10,2022-12-01,,U,37,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-10-29|2022-12-01|,2022-10-29,2022,2022-10,2022-12-01,,U,33,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-11-01|2022-12-07|,2022-11-01,2022,2022-11,2022-12-07,,U,36,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-11-08|2022-12-15|,2022-11-08,2022,2022-11,2022-12-15,,U,37,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-11-10|2022-12-21|,2022-11-10,2022,2022-11,2022-12-21,,U,41,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-11-17|2023-01-02|,2022-11-17,2022,2022-11,2023-01-02,,U,46,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-11-23|2023-01-04|,2022-11-23,2022,2022-11,2023-01-04,,U,42,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-12-02|2023-01-07|,2022-12-02,2022,2022-12,2023-01-07,,U,36,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-12-05|2023-01-22|,2022-12-05,2022,2022-12,2023-01-22,,U,48,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-12-06|2023-01-12|,2022-12-06,2022,2022-12,2023-01-12,,U,37,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-12-10|2023-01-13|,2022-12-10,2022,2022-12,2023-01-13,,U,34,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-12-13|2023-01-22|,2022-12-13,2022,2022-12,2023-01-22,,U,40,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-12-13|2023-01-23|,2022-12-13,2022,2022-12,2023-01-23,,U,41,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-12-23|2023-01-27|,2022-12-23,2022,2022-12,2023-01-27,,U,35,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-12-23|2023-02-06|,2022-12-23,2022,2022-12,2023-02-06,,U,45,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-12-26|2023-02-06|,2022-12-26,2022,2022-12,2023-02-06,,U,42,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2022-12-28|2023-02-06|,2022-12-28,2022,2022-12,2023-02-06,,U,40,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-01-02|2023-03-05|,2023-01-02,2023,2023-01,2023-03-05,,U,62,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-01-09|2023-02-11|,2023-01-09,2023,2023-01,2023-02-11,,U,33,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-01-09|2023-03-01|,2023-01-09,2023,2023-01,2023-03-01,,U,51,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-01-10|2023-03-01|,2023-01-10,2023,2023-01,2023-03-01,,U,50,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-01-21|2023-03-11|,2023-01-21,2023,2023-01,2023-03-11,,U,49,4,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-01-27|2023-03-22|,2023-01-27,2023,2023-01,2023-03-22,,U,54,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-01-29|2023-03-02|,2023-01-29,2023,2023-01,2023-03-02,,U,32,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-02-04|2023-04-08|,2023-02-04,2023,2023-02,2023-04-08,,U,63,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-02-04|2023-04-26|,2023-02-04,2023,2023-02,2023-04-26,,U,81,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-02-13|2023-04-09|,2023-02-13,2023,2023-02,2023-04-09,,U,55,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-02-19|2023-03-23|,2023-02-19,2023,2023-02,2023-03-23,,U,32,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-02-22|2023-04-13|,2023-02-22,2023,2023-02,2023-04-13,,U,50,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-03-02|2023-04-18|,2023-03-02,2023,2023-03,2023-04-18,,U,47,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-03-05|2023-04-07|,2023-03-05,2023,2023-03,2023-04-07,,U,33,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-03-11|2023-04-25|,2023-03-11,2023,2023-03,2023-04-25,,U,45,3,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-03-15|2023-05-12|,2023-03-15,2023,2023-03,2023-05-12,,U,58,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-03-15|2023-05-19|,2023-03-15,2023,2023-03,2023-05-19,,U,65,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-03-24|2023-04-29|,2023-03-24,2023,2023-03,2023-04-29,,U,36,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-03-30|2023-05-16|,2023-03-30,2023,2023-03,2023-05-16,,U,47,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-04-06|2023-05-23|,2023-04-06,2023,2023-04,2023-05-23,,U,47,3,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-04-08|2023-05-11|,2023-04-08,2023,2023-04,2023-05-11,,U,33,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-04-21|2023-06-07|,2023-04-21,2023,2023-04,2023-06-07,,U,47,3,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-04-28|2023-06-21|,2023-04-28,2023,2023-04,2023-06-21,,U,54,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-05-06|2023-07-05|,2023-05-06,2023,2023-05,2023-07-05,,U,60,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-05-06|2023-07-19|,2023-05-06,2023,2023-05,2023-07-19,,U,74,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-05-12|2023-06-28|,2023-05-12,2023,2023-05,2023-06-28,,U,47,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-05-19|2023-07-04|,2023-05-19,2023,2023-05,2023-07-04,,U,46,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-05-26|2023-07-11|,2023-05-26,2023,2023-05,2023-07-11,,U,46,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-06-02|2023-07-25|,2023-06-02,2023,2023-06,2023-07-25,,U,53,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-06-09|2023-07-31|,2023-06-09,2023,2023-06,2023-07-31,,U,52,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-06-16|2023-08-08|,2023-06-16,2023,2023-06,2023-08-08,,U,53,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-06-22|2023-08-30|,2023-06-22,2023,2023-06,2023-08-30,,U,69,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-06-30|2023-08-21|,2023-06-30,2023,2023-06,2023-08-21,,U,52,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-07-07|2023-08-29|,2023-07-07,2023,2023-07,2023-08-29,,U,53,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-07-14|2023-09-04|,2023-07-14,2023,2023-07,2023-09-04,,U,52,3,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-07-23|2023-09-19|,2023-07-23,2023,2023-07,2023-09-19,,U,58,3,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-07-27|2023-09-19|,2023-07-27,2023,2023-07,2023-09-19,,U,54,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-08-05|2023-09-26|,2023-08-05,2023,2023-08,2023-09-26,,U,52,3,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-08-12|2023-10-03|,2023-08-12,2023,2023-08,2023-10-03,,U,52,3,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-08-19|2023-10-15|,2023-08-19,2023,2023-08,2023-10-15,,U,57,3,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-08-26|2023-10-17|,2023-08-26,2023,2023-08,2023-10-17,,U,52,3,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-09-04|2023-10-24|,2023-09-04,2023,2023-09,2023-10-24,,U,50,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-09-10|2023-10-30|,2023-09-10,2023,2023-09,2023-10-30,,U,50,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-09-17|2023-11-07|,2023-09-17,2023,2023-09,2023-11-07,,U,51,3,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-09-24|2023-11-15|,2023-09-24,2023,2023-09,2023-11-15,,U,52,3,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-09-30|2023-11-14|,2023-09-30,2023,2023-09,2023-11-14,,U,45,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-10-08|2023-11-20|,2023-10-08,2023,2023-10,2023-11-20,,U,43,2,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-10-21|2023-12-04|,2023-10-21,2023,2023-10,2023-12-04,,U,44,3,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-10-21|2023-12-13|,2023-10-21,2023,2023-10,2023-12-13,,U,53,1,schedule_passed
2026-09-09_ham-sha_merged,HAM-SHA,2023-10-28|2023-12-11|,2023-10-28,2023,2023-10,2023-12-11,,U,44,3,schedule_passed
