ISO_Week,Internal_Transfer_Return_KG,Internal_Prod_Outbound_KG,External_Prod_Inbound_KG,Internal_Transfer_Supply_KG,Storage_bin_combination,Total_work_KG,Working_hours_H
2,82600,144990,128940,92376,293,449201,622
3,98386,159231,129788,134439,825,522669,552
4,80741,147618,149636,86920,70,464989,536
5,91796,219334,246242,107451,14307,679134,614
6,111214,213003,103352,103497,62613,593685,633
7,54185,15923,165139,16314,1248,252816,226
8,,,32334,,810,33152,72
9,36020,112959,186893,89351,836,426068,437
10,78357,102110,78856,109422,2540,371295,452
11,69536,126614,65352,102229,165,363907,461
12,81909,123282,188284,104558,834,498879,561
14,87342,157895,172592,130155,657,548655,564
15,86737,145947,98955,80874,1503,414031,443
16,85861,114698,115824,108563,717,425678,485
17,94940,167955,172827,124441,1838,562018,493
18,66904,142850,78234,103241,205,391453,444
20,87203,152196,168020,97413,7753,512606,627
21,105910,127187,73272,107797,1315,415503,544
22,105020,157041,143299,113513,2577,521472,565
23,91942,121548,109176,86260,1265,410214,567
24,83637,157158,148818,83196,471,473304,575
25,79301,100413,84992,64693,1084,330502,504
26,86919,138087,125399,87761,1283,439475,590
27,68681,137585,81989,105020,1485,394786,574
28,90098,160180,138107,105187,580,494181,571
29,111685,154238,70453,102806,1486,440697,602
30,92515,106501,106049,90514,565,396174,603
31,86257,175362,99306,102880,635,464472,565
